  4 ,3 ,4 ,6 ,8 ,10,12,14,18,25,26,
  0 ,5 ,8 ,10,13,16,22,23,24,25,26,
  0 ,6 ,10,13,20,21,22,23,24,25,26,
  0 ,7 ,11,14,20,21,22,23,24,25,26,
  0 ,7 ,12,19,20,21,22,23,24,25,26,
  0 ,8 ,12,19,20,21,22,23,24,25,26,
  0 ,8 ,13,19,20,21,22,23,24,25,26,
  0 ,9 ,13,19,20,21,22,23,24,25,26,
  0 ,9 ,17,19,20,21,22,23,24,25,26,
  0 ,10,18,19,20,21,22,23,24,25,26,
  0 ,10,18,19,20,21,22,23,24,25,26,
  0 ,10,18,19,20,21,22,23,24,25,26,
  0 ,11,18,19,20,21,22,23,24,25,26,
  0 ,12,18,19,20,21,22,23,24,25,26,
  0 ,13,18,19,20,21,22,23,24,25,26,
  12,17,18,19,20,21,22,23,24,25,26
